Timestamp,Qual nomenclatura é utilizada atualmente para o seu papel na empresa onde você trabalha?,Qual cargo você ocupa atualmente?,Qual é a sua senioridade?,Quantos anos de experiência você tem na área de testes?,Como é a sua relação com automação de testes na empresa onde você trabalha atualmente?,Qual regime de contratação você se encontra na empresa atual?,Modelo de Atuação,Você possui alguma certificação internacional em testes de software?,Em qual moeda seu empregador faz seus pagamentos?,Qual é o seu salário bruto?,Qual é seu gênero?,Em qual região do Brasil você vive atualmente?,Em qual região do Brasil está localizada a empresa onde você trabalha atualmente?,Com que frequência você precisa conversar em inglês no trabalho?,Com qual etnia você se identifica?,Qual é sua formação acadêmica?,(Opcional) Quais linguagens de programação são utilizadas para automação de testes na empresa onde você trabalha?,(Opcional) Quais ferramentas de automação de testes você utiliza na empresa onde você trabalha atualmente?,"(Opcional) A empresa onde você trabalha possui cargo formal de liderança em testes de software? ex. QA Lead, Líder de Testes, Gerente de QA, etc.",(Opcional) Você foi atingido por algum lay off nos últimos 12 meses?,(Opcional) Sua empresa transferiu as responsabilidades relacionadas a teste de software aos desenvolvedores?,(Opcional) Qual relação você possui com Inteligência Artificial e Testes na empresa onde você trabalha arualmente?,(Opcional) Como você conseguiu a oportunidade de participar do processo seletivo da empresa onde você atua hoje em dia?
1/9/2025 7:34:36,QA,Engenheiro,Júnior,1,Uso automação de testes mais de 8 horas por semana,CLT (Carteira Assinada),Híbrido (Você trabalha no escritório ao menos 1 vez por semana),Não,Reais,3550,Masculino,Centro-Oeste,Centro-Oeste,Não preciso conversar em inglês no trabalho,Parda,Ensino Médio Completo,Javascript e Typescript,"Cypress, Robot e Appium",Sim,Não,Sim,Uso Inteligência Artificial para Testar,Fui abordado por Recrutador
1/9/2025 7:34:52,QA,Analista,Pleno,3,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,4818,Feminino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Parda,Ensino Superior Completo,,,Sim,Não,Não,Nenhum,Linkedin
1/9/2025 7:36:03,QA,Líder,Sênior,13,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Sim,Reais,13500,Masculino,Centro-Oeste,Sudeste,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,Javascript,"Cypress, k6",Sim,Não,Não,Uso Inteligência Artificial para Testar,Indicação Interna
1/9/2025 7:36:38,QA,Analista,Pleno,5,Uso automação de testes mais de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,4500,Masculino,Sul,Sul,Não preciso conversar em inglês no trabalho,Branca,Pós-Graduado,Javascript,Cypress,Sim,Não,Não,Nenhum,Site de Vagas
1/9/2025 7:37:18,QA,Especialista,Sênior,12,Uso automação de testes mais de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Sim,Reais,14000,Masculino,Sul,Sul,Não preciso conversar em inglês no trabalho,Branca,Pós-Graduado,Java e Javascript,"Appium, Selenium, RestAssured, Cypress",Sim,Não,Não,Uso Inteligência Artificial para Testar,Indicação Interna
1/9/2025 7:37:30,QA,Analista,Pleno,3,Uso automação de testes mais de 8 horas por semana,CLT (Carteira Assinada),Híbrido (Você trabalha no escritório ao menos 1 vez por semana),Não,Reais,4300,Masculino,Nordeste,Nordeste,Não preciso conversar em inglês no trabalho,Branca,Pós-Graduado,"java, javascript","jmeter, postman, newman, karate, cypress",Sim,Não,Não,Uso Inteligência Artificial para Testar,Academia
1/9/2025 7:39:37,QA,Líder,Pleno,5,Não uso automação de testes,CLT (Carteira Assinada),Híbrido (Você trabalha no escritório ao menos 1 vez por semana),Sim,Reais,6013,Feminino,Norte,Norte,Todos os dias,Parda,Ensino Superior Completo,Python ,,Sim,Não,Sim,Nenhum,Site de Vagas
1/9/2025 7:39:45,QA,Engenheiro,Júnior,3,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,5600,Feminino,Nordeste,Sudeste,Não preciso conversar em inglês no trabalho,Branca,Pós-Graduado,Javascript ,Selenium ,Sim,Não,Não,Nenhum,Indicação Interna
1/9/2025 7:40:26,QA,Analista,Júnior,2,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),Híbrido (Você trabalha no escritório ao menos 1 vez por semana),Não,Reais,4500,Masculino,Sudeste,Sudeste,Algumas vezes por mês,Branca,Ensino Superior Completo,JavaScript e Ruby,Cypress e RSPec,Sim,Não,Não,Nenhum,Linkedin
1/9/2025 7:40:29,QA,Executor,Estagiário,1,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,2350,Feminino,Sudeste,Sul,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,Python e Java / Robot framework ,Vscode Robot framework ,Sim,Não,Não,Nenhum,Programa de estágio 
1/9/2025 7:40:38,QA,Analista,Júnior,3,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,4464,Feminino,Nordeste,Sudeste,Não preciso conversar em inglês no trabalho,Parda,Pós-Graduado,,,Sim,Não,Sim,Uso Inteligência Artificial e testo aplicativos baseados em Inteligência Artificial,Linkedin
1/9/2025 7:40:59,QA,Analista,Júnior,1,Uso automação de testes mais de 8 horas por semana,CLT (Carteira Assinada),100% Presencial,Sim,Reais,3500,Masculino,Centro-Oeste,Centro-Oeste,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,Javascript,Playwright e Cucumber,Não,Não,Não,Nenhum,Site de Vagas
1/9/2025 7:41:07,QA,Analista,Júnior,3,Não uso automação de testes,PJ (Você tem sua própria empresa),100% Remoto (Brasil),Sim,Reais,5120,Feminino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Parda,Pós-Graduado,,,Não,Não,Não,Nenhum,Indicação Interna
1/9/2025 7:41:30,Testador,Analista,Júnior,2,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,7100,Masculino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Parda,Pós-Graduado,"Ruby, javascript","Selenium, Cucumber, Robot ",Não,Não,Não,Nenhum,Linkedin
1/9/2025 7:41:38,QA,Analista,Júnior,3,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,4209,Masculino,Nordeste,Sudeste,Não preciso conversar em inglês no trabalho,Parda,Ensino Superior Completo,,,Sim,Não,Não,Uso Inteligência Artificial para Testar,
1/9/2025 7:42:07,QA,Analista,Júnior,3,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,4400,Feminino,Nordeste,Nordeste,Não preciso conversar em inglês no trabalho,Preta,Pós-Graduado,,,Sim,Não,Não,Uso Inteligência Artificial para Testar,"Conhecido apresentou a vaga, mas não foi indicação."
1/9/2025 7:42:13,QA,Analista,Pleno,9,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Sim,Reais,5751,Feminino,Norte,Sudeste,Não preciso conversar em inglês no trabalho,Parda,Ensino Superior Completo,Java,,Não,"Sim, retornei com salário menor",Não,Uso Inteligência Artificial para Testar,Linkedin
1/9/2025 7:42:34,QA,Engenheiro,Pleno,5,Uso automação de testes em torno de 8 horas por semana,PJ (Você tem sua própria empresa),100% Remoto (Exterior),Não,Euros,36000,Masculino,Nordeste,Outro país,Todos os dias,Parda,Pós-Graduado,JavaScript,Cypress e K6,Não,Não,Não,Testo aplicativos baseados em Inteligência Artificial,Fui abordado por Recrutador
1/9/2025 7:42:42,QA,Analista,Pleno,5,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,6200,Masculino,Sudeste,Outro país,Não preciso conversar em inglês no trabalho,Negra,Ensino Superior Completo,,,Não,Não,Não,Nenhum,Linkedin
1/9/2025 7:42:45,QA,Analista,Trainee,2,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,1600,Feminino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,,,Sim,,Não,Uso Inteligência Artificial para Testar,Linkedin
1/9/2025 7:42:53,QA,Analista,Pleno,5,Uso automação de testes em torno de 8 horas por semana,PJ (Você tem sua própria empresa),100% Remoto (Brasil),Não,Reais,9041,Masculino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,Java,playwright,Sim,Não,Não,Nenhum,Indicação Interna
1/9/2025 7:42:55,QA,Especialista,Sênior,3,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Sim,Reais,6300,Masculino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Parda,Ensino Superior Completo,,,Sim,Não,Não,Uso Inteligência Artificial para Testar,Fui abordado por Recrutador
1/9/2025 7:43:47,Testador,Analista,Pleno,3,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,3670,Feminino,Sul,Sul,Não preciso conversar em inglês no trabalho,Branca,Ensino Médio Completo,,,Não,Não,Não,Uso Inteligência Artificial para Testar,Fui abordado por Recrutador
1/9/2025 7:43:52,QA,Analista,Sênior,10,Uso automação de testes mais de 8 horas por semana,Contrato,100% Remoto (Brasil),Não,Reais,10000,Masculino,Centro-Oeste,Sul,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,Python e Java,Behave,Sim,Não,Não,Uso Inteligência Artificial para Testar,Indicação Interna
1/9/2025 7:43:59,QA,Analista,Sênior,7,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Sim,Reais,9000,Masculino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Parda,Ensino Superior Completo,C#,"RestSharp, Cypress",Sim,Não,Não,Uso Inteligência Artificial para Testar,Fui abordado por Recrutador
1/9/2025 7:44:39,QA,Engenheiro,Sênior,6,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,9300,Masculino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Branca,Superior cursando,Python,Robot,Sim,Não,Não,Nenhum,Fui abordado por Recrutador
1/9/2025 7:44:59,QA,Analista,Sênior,15,Não uso automação de testes,CLT (Carteira Assinada),Híbrido (Você trabalha no escritório ao menos 1 vez por semana),Sim,Reais,9567,Masculino,Sudeste,Sudeste,Todos os dias,Parda,Ensino Superior Completo,,,Sim,Não,Não,Nenhum,Indicação Interna
1/9/2025 7:45:36,Testador,Analista,Pleno,10,Não uso automação de testes,CLT (Carteira Assinada),Híbrido (Você trabalha no escritório ao menos 1 vez por semana),Sim,Reais,6000,Feminino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Negra,Pós-Graduado,,,,"Sim, retornei com salário menor",Não,Nenhum,Linkedin
1/9/2025 7:45:43,SDET,Engenheiro,Júnior,3,Uso automação de testes mais de 8 horas por semana,CLT (Carteira Assinada),100% Presencial,Não,Reais,2991,Masculino,Sul,Sul,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,"Java, DelphiScript ","Selenium, RestAssured, TestComplete",Sim,Não,Não,Nenhum,Site de Vagas
1/9/2025 7:45:54,SDET,Engenheiro,Pleno,4,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),Híbrido (Você trabalha no escritório ao menos 1 vez por semana),Não,Reais,10.5,Masculino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Parda,Ensino Superior Completo,,,,Não,Não,Uso Inteligência Artificial para Testar,Linkedin
1/9/2025 7:45:56,QA,Analista,Júnior,6,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,4039,Feminino,Sul,Sul,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,,,Não,Não,Não,Nenhum,Fui abordado por Recrutador
1/9/2025 7:46:05,QA,Analista,Pleno,4,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Sim,Reais,7200,Masculino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,Java,"Rest assured, Junit, Cucumber, Git, Bitbucket, Bamboo, Octane",Não,Não,Não,Uso Inteligência Artificial para Testar,Fui abordado por Recrutador
1/9/2025 7:46:08,QA,Analista,Pleno,4,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,6538,Masculino,Sudeste,Sudeste,Algumas vezes por mês,Parda,Ensino Médio Completo,"Python, Javascript",Robot Framework,Não,Não,Não,Uso Inteligência Artificial para Testar,Fui abordado por Recrutador
1/9/2025 7:46:08,SDET,Líder,Sênior,7,Uso automação de testes mais de 8 horas por semana,CLT (Carteira Assinada),Híbrido (Você trabalha no escritório ao menos 1 vez por semana),Não,Reais,7550,Masculino,Sul,Sul,Não preciso conversar em inglês no trabalho,Branca,Pós-Graduado,JS e JAVA,"Playwright, codecept, restassured, k6, APPIUM",Sim,Não,Sim,Nenhum,Site de Vagas
1/9/2025 7:46:17,QA,Analista,Sênior,9,Uso automação de testes em torno de 8 horas por semana,PJ (Você tem sua própria empresa),Híbrido (Você trabalha no escritório ao menos 1 vez por semana),Não,Reais,11502,Masculino,Sul,Sul,Não preciso conversar em inglês no trabalho,Branca,Pós-Graduado,java,Maven,Sim,Não,Sim,Uso Inteligência Artificial para Testar,Indicação Interna
1/9/2025 7:46:23,QA,Engenheiro,Sênior,5,Uso automação de testes mais de 8 horas por semana,CLT (Carteira Assinada),Híbrido (Você trabalha no escritório ao menos 1 vez por semana),Sim,Reais,8625,Masculino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Parda,Ensino Superior Completo,,,Não,Não,,,
1/9/2025 7:46:32,QA,Analista,Pleno,3,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,7120,Feminino,Sul,Sudeste,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,python ,robot + appium,Sim,Não,Não,Uso Inteligência Artificial para Testar,Indicação Interna
1/9/2025 7:46:38,QA,Especialista,Sênior,12,Uso automação de testes mais de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,25000,Masculino,Centro-Oeste,Outro país,Não preciso conversar em inglês no trabalho,Branca,Pós-Graduado,"Python, JavaScript","Selenium, Cypress",Não,Não,Não,Nenhum,Linkedin
1/9/2025 7:47:04,QA,Engenheiro,Júnior,4,Uso automação de testes mais de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Sim,Reais,6646,Masculino,Sul,Sudeste,Não preciso conversar em inglês no trabalho,Parda,Pós-Graduado,Java e python,Robot framework e Cypress,Não,Não,Sim,Uso Inteligência Artificial para Testar,Site de Vagas
1/9/2025 7:47:40,QA,Analista,Pleno,5,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Sim,Reais,7116,Feminino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Branca,Pós-Graduado,Python e Java ,Appium e Postman,Não,Não,Não,Uso Inteligência Artificial para Testar,Linkedin
1/9/2025 7:47:45,QA,Engenheiro,Pleno,2,Uso automação de testes mais de 8 horas por semana,CLT (Carteira Assinada),Híbrido (Você trabalha no escritório ao menos 1 vez por semana),Não,Reais,10555,Masculino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Branca,Ensino Médio Completo,Java,"Restassured, cucumber, BDD, Octane",Sim,Não,Não,Uso Inteligência Artificial para Testar,Fui abordado por Recrutador
1/9/2025 7:48:00,QA,Analista,Júnior,2,Não uso automação de testes,PJ (Você tem sua própria empresa),100% Remoto (Brasil),Não,Reais,3500,Masculino,Nordeste,Sudeste,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,,,Sim,Não,Não,Nenhum,Linkedin
1/9/2025 7:48:11,QA,Analista,Estagiário,2,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),100% Presencial,Não,Reais,2230,Masculino,Sul,Sudeste,Algumas vezes por mês,Branca,Ensino Médio Completo,Javascript,Cypress ,Não,Não,Não,Nenhum,Indicação Interna
1/9/2025 7:48:29,Testador,Analista,Pleno,4,Não uso automação de testes,Contrato,100% Remoto (Exterior),Não,Euros,1600,Feminino,Não moro no Brasil,Outro país,Não preciso conversar em inglês no trabalho,Branca,Ensino Médio Completo,,,Sim,"Sim, ainda estou desempregado",Não,,Linkedin
1/9/2025 7:48:58,QA,Analista,Pleno,2,Uso automação de testes mais de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,3437,Feminino,Nordeste,Centro-Oeste,Não preciso conversar em inglês no trabalho,Parda,Pós-Graduado,C#,Robot e Selenium ,Não,Não,Não,Uso Inteligência Artificial para Testar,Site de Vagas
1/9/2025 7:49:07,QA,Analista,Pleno,3,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,3600,Feminino,Sul,Sul,Não preciso conversar em inglês no trabalho,Branca,Ensino Médio Completo,JavaScript,Cypress,Não,Não,Não,Uso Inteligência Artificial para Testar,Fui abordado por Recrutador
1/9/2025 7:49:12,QA,Analista,Pleno,7,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,7300,Feminino,Sul,Centro-Oeste,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,,,,,,,
1/9/2025 7:49:13,QA,Analista,Sênior,15,Não uso automação de testes,PJ (Você tem sua própria empresa),100% Remoto (Brasil),Não,Reais,6800,Feminino,Sudeste,Nordeste,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,Playwright/javascript ,Playwright/javascript,Não,"Sim, ainda estou desempregado",Sim,Uso Inteligência Artificial para Testar,Linkedin
1/9/2025 7:49:18,Testador,Analista,Pleno,5,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,7795,Masculino,Nordeste,Sudeste,Não preciso conversar em inglês no trabalho,Parda,Pós-Graduado,,,Não,Não,Sim,Uso Inteligência Artificial para Testar,Linkedin
1/9/2025 7:49:30,QA,Engenheiro,Pleno,4,Não uso automação de testes,Flex (Você é CLT mas também tem sua própria empresa),100% Remoto (Brasil),Sim,Reais,9000,Masculino,Sul,Norte,Não preciso conversar em inglês no trabalho,Branca,Ensino Médio Completo,javascript,,Não,Não,Não,Uso Inteligência Artificial para Testar,Fui abordado por Recrutador
1/9/2025 7:49:48,QA,Engenheiro,Pleno,3,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,5200,Feminino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Branca,Ensino Superior Completo,Robot Framework,VS Code,Sim,Não,Não,Nenhum,Indicação Interna
1/9/2025 7:49:57,QA,Analista,Pleno,3,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),Híbrido (Você trabalha no escritório ao menos 1 vez por semana),Não,Reais,5675,Masculino,Sudeste,Sudeste,Não preciso conversar em inglês no trabalho,Negra,Ensino Superior Completo,JavaScript,"TestComplete, Cypress, Appium, Robot, K6",Sim,Não,Não,Nenhum,Linkedin
1/9/2025 7:50:00,QA,Analista,Pleno,3,Uso automação de testes em torno de 8 horas por semana,CLT (Carteira Assinada),100% Remoto (Brasil),Não,Reais,14000,Masculino,Nordeste,Sul,Algumas vezes por mês,Negra,Ensino Superior Completo,Javascript,Cypress,Não,Não,Não,Nenhum,Fiz a inscrição para uma vaga na qual eu não atendia a todos os requisitos e não tinha visto. Mas a lider técnica na entrevista gostou de mim e me indicou para uma vaga interna.
1/9/2025 7:50:10,QA,Especialista,Sênior,18,Não uso automação de testes,CLT (Carteira Assinada),100% Remoto (Brasil),Sim,Reais,14000,Masculino,Sul,Sul,Todos os dias,Branca,Pós-Graduado,,,Sim,Não,Não,Nenhum,Linkedin
1/9/2025 7:50:28,QA,Analista,Pleno,6,Uso automação de testes mais de 8 horas por semana,Contrato,100% Remoto (Brasil),Não,Reais,9200,Masculino,Sul,Sul,Não preciso conversar em inglês no trabalho,Branca,Pós-Graduado,"Ruby, Javascript","Capybara, Selenium Playwright",Não,Não,Não,,
1/9/2025 7:50:31,QA,Analista,Pleno,5,Não uso automação de testes,CLT (Carteira Assinada),Híbrido (Você trabalha no escritório ao menos 1 vez por semana),Sim,Reais,7040,Masculino,Norte,Norte,Algumas vezes por mês,Branca,Ensino Superior Completo,,,Não,Não,Sim,Uso Inteligência Artificial para Testar,Indicação Interna
